commodity,date,sentiment_positive_mean,sentiment_neutral_mean,sentiment_negative_mean,article_count,dominant_sentiment,sentiment_dispersion
Wheat,2015-04-23,0.1767817884683609,0.8140079975128174,0.0092101963236927,1,neutral,0.0
Wheat,2015-04-25,0.026437461376190147,0.259569764137268,0.7139927539974451,4,negative,0.024260709775543704
Wheat,2015-04-26,0.039755114043752295,0.37480511764685315,0.5854397962490717,3,negative,0.009693178201024536
Wheat,2015-04-29,0.04038948565721507,0.4180651207764943,0.5415453712145487,3,negative,0.016062815727877468
Wheat,2015-04-30,0.448210060596466,0.536851167678833,0.0149387521669268,1,neutral,0.0
Wheat,2015-05-01,0.0345021076500415,0.9197295904159546,0.0457683056592941,1,neutral,0.0
Wheat,2015-05-02,0.0493554435670375,0.9186106324195862,0.0320339389145374,1,neutral,0.0
Wheat,2015-05-03,0.3756438791751861,0.5902823209762573,0.0340737588703632,1,neutral,0.0
Wheat,2015-05-05,0.0229263231158256,0.1104866489768028,0.8665869832038879,1,negative,0.0
Wheat,2015-05-07,0.0169960334897041,0.1279852986335754,0.855018675327301,1,negative,0.0
Wheat,2015-05-09,0.08487311471253625,0.5555987358093262,0.3595281569287181,2,negative,0.05897637736052275
Wheat,2015-05-10,0.0866898149251937,0.8507477045059204,0.062562495470047,1,neutral,0.0
Wheat,2015-05-11,0.031767709801594365,0.6512812475363413,0.3169510376950105,3,neutral,0.005721209690493494
Wheat,2015-05-14,0.0229727905243635,0.1725142151117324,0.8045129776000977,1,negative,0.0
Wheat,2015-05-20,0.0116192735731601,0.0622967034578323,0.926084041595459,1,negative,0.0
Wheat,2015-06-02,0.0955446437001228,0.8660731911659241,0.0383822284638881,1,neutral,0.0
Wheat,2015-06-06,0.1102390959858894,0.8762632012367249,0.0134977325797081,1,neutral,0.0
Wheat,2015-06-22,0.0284715481102466,0.924399733543396,0.0471286512911319,1,neutral,0.0
Wheat,2015-06-29,0.125666469335556,0.1949432939291,0.6793902516365051,1,negative,0.0
Wheat,2015-07-25,0.4151264131069183,0.572117030620575,0.0127565721049904,1,neutral,0.0
